image_name	cell_number	mRNA_entry	peptide_entry	pep_amp	normalized_pep_amp	distance	X Coord	Y Coord	Z Coord
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	40	1191	914.268	0.3782546637044024	644.9025120124746	55980.6	151726	10158.6
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	43	1193	1399.85	0.5791516174541903	175.17536927319523	56931.4	152002	10762.6
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	47	1196	1195.91	0.49477673381408066	602.314004486031	56211.7	152724	4717.88
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_1	897	11969	2206.63	1.3952413470414913	548.7354189406772	195737	77595.1	6175.75
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	48	1201	1664.71	0.6887305704840985	680.6092858608381	57295.1	152509	10193.2
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_1	898	12184	1221.04	0.7720576147299467	354.02259814876226	218685	105796	6058.67
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_2	899	12366	3010.07	1.9032525260189437	590.4008468828533	127055	67324.4	7284.34
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	49	1242	3484.51	1.4416256045542744	318.6361561405108	56680.2	155886	9367.51
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_2	900	12483	6357.63	4.019898326947153	136.62946241568892	118010	80051.5	6757.78
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	51	1249	1872.62	0.7747479386198992	245.93253139835062	59299.8	156342	10153.2
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_2	901	12558	2848.91	1.801351846934001	619.2361504305068	108389	86087.3	6686.15
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	52	1256	1588.8	0.6573247775198897	593.9816832192739	56031.5	157682	7251.58
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_2	902	12664	2611.09	1.650979425117291	83.6376111567039	98994.6	100707	7412.05
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_2	903	12666	2572.78	1.6267561996535025	660.6415366899078	98060.5	100793	7297.45
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_2	904	12673	7302.75	4.617493076368603	114.94781424629178	94089.4	102578	6144.29
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	906	13034	2914.49	1.8428177599049027	577.6192863816053	126381	50205.6	5790.72
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	907	13048	2506.48	1.5848350342071653	607.4387952707658	124551	52339.2	6378.41
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	909	13055	1895.87	1.1987493202827624	614.656822950824	121536	53005.3	6185.6
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	908	13063	3998.37	2.528149778064418	189.41003141333232	125273	52913.3	5340.41
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	910	13074	2032.04	1.2848489446994702	250.41942816004118	120496	53650.6	6276.82
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	911	13082	3414.95	2.159256168038747	575.0951312609058	121169	53731	6374.72
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	913	13093	2228.3	1.4089431819618854	631.107954315266	117438	54759.3	6331.47
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	912	13096	2307.02	1.458717452609482	681.0078487066035	123304	54321.4	5557.4
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	915	13113	2704.09	1.7097828698610216	184.94326156959744	119246	55483.6	7182.27
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	914	13114	2754.13	1.7414229169037774	331.6064082613616	116953	55519.2	5767.22
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	917	13129	3750.67	2.3715302806125678	183.53680829741003	117034	56264.5	7181.23
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	918	13167	3948.48	2.4966045752873782	549.8980269104422	123135	57765.4	6038.89
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	919	13193	2242.15	1.4177004691629678	377.0013262576141	116630	59829.5	6618.52
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	920	13223	1915.24	1.2109968764621826	538.6154843670959	111363	63286.5	5907.97
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	921	13354	5921.8	3.7443251514346776	261.92000687232445	83585	77793.9	6870.37
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	922	13474	1383.6	0.8748435069615691	312.61301956252055	53573.5	97157.3	7146.25
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	57	1357	3781.4	1.56445613904438	423.07167241497984	71985.4	171252	4613.87
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	59	1380	2016.99	0.8344772803435564	493.11584845754334	73904.7	174571	4931.47
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	925	13810	2879.12	2.3977880307143926	275.8295850701937	109124	97088.8	8184.65
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	926	13846	3072.66	2.5589719672868396	217.8003673091485	112019	101598	7450.9
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	927	13865	5255.49	4.376875926511984	154.80633061990713	108130	103274	7331.74
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	928	13889	3506.87	2.9205906357746056	150.60212481900777	109378	105369	7857.59
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	929	13893	5346.36	4.452554258207439	198.15650380444242	108383	106308	8041.23
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	930	13900	6656.13	5.543356596765328	163.21764610482532	107158	106898	7297.14
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	931	13905	5673.8	4.725252760797508	164.07315441594946	109646	107277	7957.12
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	932	13933	2234.49	1.8609274280860135	563.9193204705794	111580	110853	6872.28
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	933	13950	3804.69	3.1686210170394924	71.06335201775947	110945	112458	6433.82
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	935	13961	4601.73	3.83241167946433	509.8362482209361	113046	114062	7487.58
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	934	13962	1908.32	1.5892866065926012	445.04831198421596	109234	113515	6963.77
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	937	13967	2940.55	2.448948148641671	518.9576090587747	109757	114279	6082.89
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	939	13973	3365.28	2.8026716857937606	160.70469812671936	110198	115640	7349.57
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	938	13974	3945.15	3.285598880690241	613.6358855216993	112200	114969	7805.82
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	942	13977	5068.88	4.221463430884288	179.2344832893492	114340	116291	7256.7
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	941	13984	3145.47	2.619609574095974	202.78066969018522	112250	116382	7197.05
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	944	13989	3108.34	2.5886869763645755	623.6192748785111	113742	117177	7155.43
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	943	13995	7171.54	5.972600229858254	471.3904962979207	110798	116718	7667.62
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	945	13997	3762.16	3.1332011925978978	669.3773225916755	109300	117290	6418.28
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	947	14041	806.258	0.6714675949830938	683.7813978165829	179547	111559	6001.94
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	948	14061	1338.34	1.1145959991338674	561.6235393927145	178066	115292	6297.62
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	949	14063	2363.54	1.9684028182620716	185.9731163367437	176378	115586	7444.25
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	950	14066	2915.59	2.428160967403435	111.9866063420086	174156	115809	6993.67
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	951	14067	2133.66	1.776954211569532	491.6360442441136	174637	116374	6573.41
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	953	14073	1103.43	0.918958309042757	298.61011369342464	170135	116567	5884.88
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	61	1409	2965.44	1.2268738596730753	366.92180365848606	78366.9	180330	5135.99
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	954	14097	7086.99	5.90218531905325	84.53401682163222	165810	119322	6620.33
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	62	1413	3424.85	1.4169428274729319	608.526778375449	80859.6	180610	4379.87
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	955	14156	1806.27	1.50429734996752	660.1098393449381	145266	124811	6741.32
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	63	1416	4874.01	2.0164951780461466	546.9970840872932	80788.8	181119	7379.34
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	64	1417	3283.42	1.3584298344690058	236.67919215681033	79818.8	181878	4812.49
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	956	14213	1420.98	1.1834202241950798	690.5222661145692	134686	126971	5908.7
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	957	14215	3655.63	3.044480903442877	501.91333913336075	127391	127730	6252.34
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	65	1422	3305.36	1.3675069402210114	463.2712488380862	80895.1	182923	4884.7
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	958	14235	5644.5	4.7008511417958925	106.10372283760829	132333	128452	5875.13
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	66	1426	3032.85	1.2547629981754769	150.1407672819078	82218.2	184806	8149.26
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	959	14272	5737.83	4.7785782101037695	195.25624189766637	133576	129564	5731.21
