image_name	cell_number	mRNA_entry	X Coord	Y Coord	Z Coord
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_4	335	72443.7	128358	9122.3
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_4	337	72158.7	129065	9534.48
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_4	338	72358	129648	8004.5
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_6	369	78267.4	144789	5436.18
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_6	375	73201.9	147704	6878.27
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	380	131628	37409.1	5712.24
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	395	161473	99252.3	4148.53
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	422	204112	119937	4675.5
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	497	189920	139433	5098.72
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	501	178634	140565	7377.27
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	503	180277	141784	5296.96
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	506	180421	142690	4791.15
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	507	180870	143239	7065.52
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	508	181037	143803	7644.6
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	530	118881	138946	6595.04
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	542	118314	141445	6164.3
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	548	117038	143270	6614.91
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	573	94852.2	167829	11045.9
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	576	87148.6	189314	8237.89
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	578	85533.4	192870	8955.05
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	579	85847.5	193968	6424.76
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	580	85536.9	194539	7881.87
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	581	84678.4	195048	6013.13
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_2	606	73787.5	112353	3678.22
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_2	610	72128.4	112754	4122.23
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	651	156992	76568.9	1732.07
